ASV_ID	database	pident	sseqid	length	qcovs	evalue	bitscore	specimen_id	phylum	class	order	family	genus	species	scientific_name	mismatch	gapopen	qstart	qend	sstart	send	accession	unique_phyla	
ASV_02998	NMNH	97.09	SH21353|Annelida|Amphinomidae	378	100	0	638	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Heteroscleromorpha	
ASV_03315	NMNH	97.09	SH21353|Annelida|Amphinomidae	378	100	0	638	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Rotifera	
ASV_03570	NMNH	87.139	SH21353|Annelida|Amphinomidae	381	100	1.48E-120	425	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Acanthocephala	
ASV_04411	NMNH	90.576	SH21353|Annelida|Amphinomidae	382	100	6.76E-144	503	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Gastrotricha	
ASV_05914	NMNH	96.825	SH21353|Annelida|Amphinomidae	378	100	0	632	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Orthonectida	
ASV_06227	NMNH	87.402	SH21353|Annelida|Amphinomidae	381	100	3.18E-122	431	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Mollusca	
ASV_06846	NMNH	87.139	SH21353|Annelida|Amphinomidae	381	100	1.48E-120	425	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Platyhelminthes	
ASV_07052	NMNH	90.052	SH21353|Annelida|Amphinomidae	382	99	1.90E-139	488	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Xenacoelomorpha	
ASV_07255	NMNH	90.674	SH21353|Annelida|Amphinomidae	386	100	1.89E-144	505	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Nemertea	
ASV_07595	NMNH	95.767	SH21353|Annelida|Amphinomidae	378	100	3.83E-176	610	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Porifera	
ASV_07743	NMNH	96.561	SH21353|Annelida|Amphinomidae	378	100	0	627	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Rhodophyta	
ASV_08264	NMNH	94.256	SH21353|Annelida|Amphinomidae	383	100	3.05E-167	580	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Sipuncula	
ASV_09154	NMNH	94.709	SH21353|Annelida|Amphinomidae	378	100	1.79E-169	588	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_09375	NMNH	89.378	SH21353|Annelida|Amphinomidae	386	100	4.13E-136	477	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_10685	NMNH	88.624	SH21353|Annelida|Amphinomidae	378	100	1.46E-130	459	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_10816	NMNH	89.378	SH21353|Annelida|Amphinomidae	386	100	4.13E-136	477	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_11439	NMNH	95.946	SH21353|Annelida|Amphinomidae	370	98	2.31E-173	601	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_11949	NMNH	90.576	SH21353|Annelida|Amphinomidae	382	100	6.76E-144	503	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_11968	NMNH	88.714	SH21353|Annelida|Amphinomidae	381	100	1.14E-131	462	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_11973	NMNH	91.906	SH21353|Annelida|Amphinomidae	383	100	3.10E-152	531	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_11976	NMNH	91.146	SH21353|Annelida|Amphinomidae	384	100	3.13E-147	514	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_13075	NMNH	91.384	SH21353|Annelida|Amphinomidae	383	100	6.73E-149	520	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_15462	NMNH	88.594	SH21353|Annelida|Amphinomidae	377	98	8.96E-128	449	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_17817	NMNH	95.946	SH21353|Annelida|Amphinomidae	370	98	2.31E-173	601	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_18235	NMNH	92.593	SH21353|Annelida|Amphinomidae	378	100	3.94E-156	544	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_19343	NMNH	94.18	SH21353|Annelida|Amphinomidae	378	100	3.89E-166	577	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_19404	NMNH	88.329	SH21353|Annelida|Amphinomidae	377	98	4.17E-126	444	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_19477	NMNH	96.032	SH21353|Annelida|Amphinomidae	378	100	2.95E-177	614	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_19592	NMNH	93.931	SH21353|Annelida|Amphinomidae	379	100	1.81E-164	571	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_20786	NMNH	88.312	SH21353|Annelida|Amphinomidae	385	100	1.94E-129	455	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_21265	NMNH	94.444	SH21353|Annelida|Amphinomidae	378	100	8.35E-168	582	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_21268	NMNH	95.767	SH21353|Annelida|Amphinomidae	378	100	3.83E-176	610	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_21370	NMNH	88.949	SH21353|Annelida|Amphinomidae	371	98	1.89E-129	455	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_22131	NMNH	93.386	SH21353|Annelida|Amphinomidae	378	100	3.91E-161	560	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_22138	NMNH	92.506	SH21353|Annelida|Amphinomidae	387	100	1.12E-156	545	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_22175	NMNH	88.859	SH21353|Annelida|Amphinomidae	377	98	1.93E-129	455	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_22247	NMNH	89.147	SH21353|Annelida|Amphinomidae	387	100	5.38E-135	473	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_22337	NMNH	96.561	SH21353|Annelida|Amphinomidae	378	100	0	627	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353		
ASV_12569	MZG	88.889	Animalia;Annelida;Polychaeta;Eunicida;Dorvilleidae;Parougia;Parougia_diapason	387					Annelida	Polychaeta	Eunicida	Dorvilleidae	Parougia	diapason	Parougia diapason									
ASV_00282	NMNH	98.413	SH20850|Annelida|Eunice	378	100	0	665	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_00645	NMNH	100	SH20850|Annelida|Eunice	378	100	0	699	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_08766	NMNH	99.471	SH20850|Annelida|Eunice	378	100	0	688	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_09859	NMNH	94.211	SH20850|Annelida|Eunice	380	100	1.09E-166	579	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_10397	NMNH	92.388	SH20850|Annelida|Eunice	381	100	5.14E-155	540	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_11521	NMNH	97.354	SH20850|Annelida|Eunice	378	100	0	643	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_16488	NMNH	98.413	SH20850|Annelida|Eunice	378	100	0	665	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_22339	NMNH	92.368	SH20850|Annelida|Eunice	380	100	1.83E-154	538	SH20850	Annelida	Polychaeta	Eunicida	Eunicidae	Eunice	Eunice*	Eunice							SH20850		
ASV_00117	NMNH	100	SH20136|Annelida|Eunicidae	378	100	0	699	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_00197	NMNH	100	SH20164|Annelida|Eunicidae	378	100	0	699	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_00729	NMNH	99.471	SH20136|Annelida|Eunicidae	378	100	0	688	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_01171	NMNH	99.471	SH20136|Annelida|Eunicidae	378	100	0	688	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_02910	NMNH	99.735	SH20164|Annelida|Eunicidae	378	100	0	693	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_02954	NMNH	99.735	SH20164|Annelida|Eunicidae	378	100	0	693	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_03438	NMNH	99.206	SH20136|Annelida|Eunicidae	378	100	0	682	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_03498	NMNH	99.471	SH20136|Annelida|Eunicidae	378	100	0	688	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_04017	NMNH	99.735	SH20136|Annelida|Eunicidae	378	100	0	693	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_04408	NMNH	99.471	SH20164|Annelida|Eunicidae	378	100	0	688	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_05110	NMNH	99.206	SH20136|Annelida|Eunicidae	378	100	0	682	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_06368	NMNH	99.206	SH20164|Annelida|Eunicidae	378	100	0	682	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_09656	NMNH	98.148	SH20136|Annelida|Eunicidae	378	100	0	660	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_11522	NMNH	93.915	SH20164|Annelida|Eunicidae	378	100	1.06E-161	562	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_15404	NMNH	94.974	SH20164|Annelida|Eunicidae	378	100	3.86E-171	593	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_16413	NMNH	94.974	SH20164|Annelida|Eunicidae	378	100	3.86E-171	593	SH20164	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20164		
ASV_16626	NMNH	94.974	SH20136|Annelida|Eunicidae	378	100	3.86E-171	593	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_18280	NMNH	99.471	SH20136|Annelida|Eunicidae	378	100	0	688	SH20136	Annelida	Polychaeta	Eunicida	Eunicidae	Eunicidae^	Eunicidae^	Eunicidae^							SH20136		
ASV_00098	NMNH	98.677	SH21336|Annelida|Lumbrineridae	378	100	0	671	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00239	NMNH	100	SH20996|Annelida|Lumbrineridae	378	100	0	699	SH20996	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH20996		
ASV_00244	NMNH	86.34	SH21336|Annelida|Lumbrineridae	388	100	1.19E-116	412	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00362	NMNH	93.438	SH21336|Annelida|Lumbrineridae	381	100	3.91E-161	560	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00458	NMNH	94.444	SH21336|Annelida|Lumbrineridae	378	100	8.35E-168	582	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00501	NMNH	86.877	SH21336|Annelida|Lumbrineridae	381	100	6.91E-119	420	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00509	NMNH	89.034	SH21336|Annelida|Lumbrineridae	383	100	2.45E-133	468	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00543	NMNH	87.206	SH21336|Annelida|Lumbrineridae	383	100	1.16E-121	429	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00692	NMNH	87.99	SH21336|Annelida|Lumbrineridae	383	100	1.15E-126	446	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00847	NMNH	93.14	SH21336|Annelida|Lumbrineridae	379	100	1.83E-159	555	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00851	NMNH	100	SH21336|Annelida|Lumbrineridae	378	100	0	699	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_00859	NMNH	94.974	SH21336|Annelida|Lumbrineridae	378	100	3.86E-171	593	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01198	NMNH	93.651	SH21336|Annelida|Lumbrineridae	378	100	3.02E-162	564	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01330	NMNH	88.251	SH21336|Annelida|Lumbrineridae	383	100	2.47E-128	451	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01444	NMNH	94.709	SH21336|Annelida|Lumbrineridae	378	100	1.79E-169	588	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01531	NMNH	95.778	SH21336|Annelida|Lumbrineridae	379	100	3.84E-176	610	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01607	NMNH	86.544	SH21336|Annelida|Lumbrineridae	379	98	1.53E-115	409	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01896	NMNH	87.368	SH21336|Annelida|Lumbrineridae	380	100	3.18E-122	431	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01976	NMNH	91.799	SH21336|Annelida|Lumbrineridae	378	100	1.42E-150	525	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_01984	NMNH	87.435	SH20996|Annelida|Lumbrineridae	382	100	8.90E-123	433	SH20996	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH20996		
ASV_02015	NMNH	86.923	SH21336|Annelida|Lumbrineridae	390	100	7.03E-119	420	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02056	NMNH	86.234	SH20996|Annelida|Lumbrineridae	385	99	1.96E-114	405	SH20996	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH20996		
ASV_02091	NMNH	86.494	SH20996|Annelida|Lumbrineridae	385	99	4.22E-116	411	SH20996	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH20996		
ASV_02346	NMNH	94.709	SH21336|Annelida|Lumbrineridae	378	100	1.79E-169	588	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02429	NMNH	89.61	SH21336|Annelida|Lumbrineridae	385	100	8.88E-138	483	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02586	NMNH	87.08	SH21336|Annelida|Lumbrineridae	387	100	1.18E-121	429	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02663	NMNH	86.082	SH21336|Annelida|Lumbrineridae	388	100	5.53E-115	407	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02669	NMNH	96.306	SH21336|Annelida|Lumbrineridae	379	100	1.77E-179	621	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02682	NMNH	88.512	SH21336|Annelida|Lumbrineridae	383	100	1.90E-129	455	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02689	NMNH	93.947	SH21336|Annelida|Lumbrineridae	380	100	5.05E-165	573	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02775	NMNH	86.842	SH21336|Annelida|Lumbrineridae	380	98	1.18E-116	412	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02783	NMNH	98.413	SH21336|Annelida|Lumbrineridae	378	100	0	665	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02909	NMNH	88.251	SH21336|Annelida|Lumbrineridae	383	100	6.91E-129	453	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02965	NMNH	88.052	SH21336|Annelida|Lumbrineridae	385	100	9.01E-128	449	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_02999	NMNH	92.857	SH21336|Annelida|Lumbrineridae	378	100	8.47E-158	549	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03300	NMNH	98.148	SH21336|Annelida|Lumbrineridae	378	100	0	660	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03453	NMNH	93.915	SH21336|Annelida|Lumbrineridae	378	100	6.48E-164	569	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03456	NMNH	93.122	SH21336|Annelida|Lumbrineridae	378	100	6.53E-159	553	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03593	NMNH	94.459	SH21336|Annelida|Lumbrineridae	379	100	3.00E-167	580	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03798	NMNH	89.323	SH21336|Annelida|Lumbrineridae	384	100	4.12E-136	477	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03844	NMNH	85.079	SH20996|Annelida|Lumbrineridae	382	100	3.26E-107	381	SH20996	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH20996		
ASV_03935	NMNH	88.281	SH21336|Annelida|Lumbrineridae	384	100	8.84E-128	449	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03968	NMNH	93.651	SH21336|Annelida|Lumbrineridae	378	100	3.02E-162	564	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_03986	NMNH	93.651	SH21336|Annelida|Lumbrineridae	378	100	3.02E-162	564	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_04305	NMNH	93.963	SH21336|Annelida|Lumbrineridae	381	100	5.07E-165	573	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_04362	NMNH	93.404	SH21336|Annelida|Lumbrineridae	379	100	1.40E-160	558	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_04400	NMNH	88.189	SH21336|Annelida|Lumbrineridae	381	100	3.16E-127	448	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
ASV_04727	NMNH	87.76	SH21336|Annelida|Lumbrineridae	384	100	1.91E-124	438	SH21336	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineridae^	Lumbrineridae^	Lumbrineridae^							SH21336		
