family_name_input,aphia_id,phyllum,class,order,accepted_family,common_name,mobility,nutritional_strategy,confidence,evidence_source_domain,evidence_url1,evidence_url2,notes,assigned_by,date_assigned
Glyceridae,952,Annelida,Polychaeta,Phyllodocida,Glyceridae,bloodworms (Glycera),Mobile,Predator,0.95,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=952,,Errant polychaetes with venomous jaws; active predators.,GPT-5 Pro,9/24/25
Hesionidae,946,Annelida,Polychaeta,Phyllodocida,Hesionidae,hesionid polychaetes,Mobile,Predator;Scavenger,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=946,,Active errant polychaetes; many carnivorous/omnivorous.,GPT-5 Pro,9/25/25
Lacydoniidae,954,Annelida,Polychaeta,Phyllodocida,Lacydoniidae,lacydoniid polychaetes,Mobile,Predator,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=954,https://www.vliz.be/vmdcdata/narms/narms.php?p=taxdetails&id=954,Errant phyllodocids; presumed carnivorous like related taxa.,GPT-5 Pro,9/25/25
Lopadorrhynchidae,933,Annelida,Polychaeta,Phyllodocida,Lopadorrhynchidae,pelagic lopadorrhynchids,Planktonic,Predator,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=933,,Pelagic phyllodocids preying on other planktonic invertebrates.,GPT-5 Pro,9/25/25
Nereididae,22496,Annelida,Polychaeta,Phyllodocida,Nereididae,ragworms/clamworms,Mobile,Predator;Deposit_feeder;Scavenger,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=22496,https://www.annualreviews.org/doi/pdf/10.1146/annurev-marine-010814-020007,Errant polychaetes; omnivorous/carnivorous with opportunistic deposit feeding.,GPT-5 Pro,9/25/25
Phyllodocidae,931,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,phyllodocid worms,Mobile,Predator;Scavenger,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=931,,Errant polychaetes with raptorial jaws; omnivory common.,GPT-5 Pro,9/25/25
Polynoidae,939,Annelida,Polychaeta,Phyllodocida,Polynoidae,scale worms,Mobile,Predator;Scavenger,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=939,,Scale worms; many carnivorous and opportunistic scavengers.,GPT-5 Pro,9/25/25
Sigalionidae,943,Annelida,Polychaeta,Phyllodocida,Sigalionidae,sigalionid polychaetes,Mobile,Predator;Scavenger,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=943,,Errant polychaetes; many carnivorous/omnivorous on benthic fauna.,GPT-5 Pro,9/25/25
Sphaerodoridae,957,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,polychaete bristle worms (sphaerodorids),Mobile,Unknown,0.5,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=957,,Family shows varied foregut morphology; diet insufficiently resolved at family level.,GPT-5 Pro,9/26/25
Syllidae,948,Annelida,Polychaeta,Phyllodocida,Syllidae,syllid polychaetes,Mobile,Predator;Scavenger,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=948,,Errant polychaetes; generalist carnivory/omnivory.,GPT-5 Pro,9/25/25
Dinophilidae,155089,Annelida,Polychaeta,Polychaeta incertae sedis,Dinophilidae,dinophilid interstitial annelids,Mobile,Deposit_feeder;Grazer,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=155089,,"Interstitial annelids; microphagous on diatoms, bacteria, detritus.",GPT-5 Pro,9/24/25
Nerillidae,992,Annelida,Polychaeta,Polychaeta incertae sedis,Nerillidae,nerillid interstitial worms,Mobile,Deposit_feeder,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=992,,Meiofaunal polychaetes feeding on diatoms/bacteria in sediments.,GPT-5 Pro,9/25/25
Oweniidae,975,Annelida,Polychaeta,Polychaeta incertae sedis,Oweniidae,oweniid tubeworms,Sessile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=975,,Sedentary tube-builders ingest fine sediments; AphiaID confirmed.,GPT-5 Pro,9/25/25
Psammodrilidae,11787,Annelida,Polychaeta,Polychaeta incertae sedis,Psammodrilidae,psammodrilid polychaetes,Mobile,Deposit_feeder,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=11787,,Interstitial annelids; detailed trophic mode unclear at family level—left Unknown.,GPT-5 Pro,9/25/25
Saccocirridae,995,Annelida,Polychaeta,Polychaeta incertae sedis,Saccocirridae,saccocirrid polychaetes,Mobile,Deposit_feeder,0.65,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=995,,Interstitial polychaetes reported as microphagous sediment feeders.,GPT-5 Pro,9/25/25
Sabellidae,985,Annelida,Polychaeta,Sabellida,Sabellidae,feather duster worms,Sessile,ADS,0.95,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=985,https://www.marlin.ac.uk/species/group/1299,Feather-Feather-duster worms; radioles used for suspension feeding.,GPT-5 Pro,9/25/25
Serpulidae,988,Annelida,Polychaeta,Sabellida,Serpulidae,serpulid tubeworms,Sessile,ADS,0.95,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=988,https://www.marlin.ac.uk/species/detail/1289,Calcareous-Calcareous-tube polychaetes filtering with radioles.,GPT-5 Pro,9/25/25
Capitellidae,921,Annelida,Polychaeta,Scolecida,Capitellidae,capitellid polychaetes,Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=921,https://pmc.ncbi.nlm.nih.gov/articles/PMC3286223/,Burrowing worms that ingest sediment; classic deposit feeders.,GPT-5 Pro,9/24/25
Maldanidae,923,Annelida,Polychaeta,Scolecida,Maldanidae,bamboo worms,Sessile,Deposit_feeder,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=923,https://www.annualreviews.org/doi/pdf/10.1146/annurev-marine-010814-020007,Tube-dwelling sediment processors; mostly deposit feeders (some facultative suspension-feeding.,GPT-5 Pro,9/25/25
Opheliidae,924,Annelida,Polychaeta,Scolecida,Opheliidae,ophelid polychaetes,Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=924,,Infaunal burrowers ingesting sediment organic matter.,GPT-5 Pro,9/25/25
Paraonidae,903,Annelida,Polychaeta,Scolecida,Paraonidae,paraonid polychaetes,Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=903,,Small infaunal surface-deposit feeders in fine sediments.,GPT-5 Pro,9/25/25
Chaetopteridae,918,Annelida,Polychaeta,Sedentaria,Chaetopteridae,parchment tubeworms,Sessile,RNM,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=918,https://en.wikipedia.org/wiki/Chaetopteridae,Tube-dwelling polychaetes that filter-feed using mucus nets.,GPT-5 Pro,9/24/25
Spionidae,913,Annelida,Polychaeta,Spionida,Spionidae,spionid polychaetes,Sessile,Deposit_feeder;Suspension_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=913,https://www.marlin.ac.uk/species/group/1323,Family-Family-level traits reflect tube-dwelling interface feeders.,GPT-5 Pro,9/25/25
Acrocirridae,920,Annelida,Polychaeta,Terebellida,Acrocirridae,acrocirrid polychaetes,Mobile,Deposit_feeder,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=920,,Epibenthic/subsurface detritivory is typical; order varies by source so left unknown.,GPT-5 Pro,9/24/25
Ampharetidae,981,Annelida,Polychaeta,Terebellida,Ampharetidae,ampharetid worms,Sessile,Deposit_feeder;Suspension_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=981,,Sedentary tube-dwellers; primarily deposit feeders with some particle capture by palps.,GPT-5 Pro,9/24/25
Cirratulidae,919,Annelida,Polychaeta,Terebellida,Cirratulidae,spaghetti worms,Mobile,Deposit_feeder,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=919,https://www.marlin.ac.uk/species/detail/1040,"Infaunal, feeding with grooved palps on fine sediments/detritus.",GPT-5 Pro,9/24/25
Ctenodrilidae,594915,Annelida,Polychaeta,Terebellida,Ctenodrilinae,ctenodrilid polychaetes,Mobile,Deposit_feeder,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=594915,,Family taxonomy/feeding ecology debated; insufficient evidence for a single dominant trophic mode.,GPT-5 Pro,9/24/25
Flabelligeridae,976,Annelida,Polychaeta,Terebellida,Flabelligeridae,bristle‑cage worms,Sessile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=976,,Sedentary tubicolous polychaetes feeding on deposited organic matter.,GPT-5 Pro,9/24/25
Pectinariidae,980,Annelida,Polychaeta,Terebellida,Pectinariidae,trumpet (ice‑cream cone) worms,Sessile,Deposit_feeder,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=980,https://www.marlin.ac.uk/species/detail/1165,Set primary evidence to WoRMS (AphiaID match; MARLIN retained as secondary.,GPT-5 Pro,9/25/25
Terebellidae,982,Annelida,Polychaeta,Terebellida,Terebellidae,spaghetti/terebellid worms,Sessile,Deposit_feeder;Suspension_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=982,,Sedentary tube-dwellers; palps collect deposits; some suspend-feed.,GPT-5 Pro,9/25/25
Aspidosiphonidae,1644,Annelida,Sipuncula,Sipuncula,Aspidosiphonidae,peanut worms,Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1644,https://www.vliz.be/vmdcdata/narms/aphia.php?p=taxdetails&id=1644,Sipunculans ingest sediments/organic detritus; mobile burrowers.,GPT-5 Pro,9/24/25
Golfingiidae,2032,Annelida,Sipuncula,Sipuncula,Golfingiidae,peanut worms (Golfingiidae),Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=2032,,Infaunal sipunculans ingesting sediment/organic detritus.,GPT-5 Pro,9/24/25
Phascolosomatidae,1645,Annelida,Sipuncula,Sipuncula,Phascolosomatidae,"peanut worms (Phascolosoma, etc.)",Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1645,,Burrowing sipunculans ingest sediment/organic detritus.,GPT-5 Pro,9/25/25
Sipunculidae,1648,Annelida,Sipuncula,Sipuncula,Sipunculidae,peanut worms (Sipunculidae),Mobile,Deposit_feeder,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1648,,Peanut worms ingesting sediments and organic detritus.,GPT-5 Pro,9/25/25
Sididae,106263,Arthropoda,Branchiopoda,Ctenopoda,Sididae,sidid water fleas,Planktonic,ADS,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106263,https://www.sealifebase.ca/summary/Penilia-avirostris.html,"Marine cladocerans e.g., Penilia filter microplankton.",GPT-5 Pro,9/25/25
Podonidae,106264,Arthropoda,Branchiopoda,Onychopoda,Podonidae,"marine cladocerans (Podon, Evadne)",Planktonic,ADS,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106264,,Marine cladocerans filtering microplankton.,GPT-5 Pro,9/25/25
Acartiidae,104074,Arthropoda,Copepoda,Calanoida,Acartiidae,calanoid copepods,Planktonic,ADS;Predator,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104074,,spp. alternate between filtering small phytoplankton and raptorial feeding on ciliates; planktonic adults.,GPT-5 Pro,9/24/25
Aetideidae,104075,Arthropoda,Copepoda,Calanoida,Aetideidae,aetideid copepods,Planktonic,ADS;Predator,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104075,,Mixed/omnivorous feeding common in Aetideidae; adults are holoplanktonic.,GPT-5 Pro,9/24/25
Arietellidae,104076,Arthropoda,Copepoda,Calanoida,Arietellidae,arietellid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104076,,Replaced Copepedia with WoRMS search; mixed filter/raptorial calanoids.,GPT-5 Pro,9/25/25
Augaptilidae,104077,Arthropoda,Copepoda,Calanoida,Augaptilidae,augaptilid copepods,Planktonic,Predator;Suspension_feeder,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104077,,Replaced Copepedia with WoRMS search; oceanic calanoids omnivorous/predatory.,GPT-5 Pro,9/25/25
Calanidae,104079,Arthropoda,Copepoda,Calanoida,Calanidae,calanid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104079,https://www.int-res.com/articles/meps/280/m280p147.pdf,Calanoid copepods are holoplanktonic; many feed on phyto/zooplankton via filtering and raptorial capture.,GPT-5 Pro,9/24/25
Candaciidae,104080,Arthropoda,Copepoda,Calanoida,Candaciidae,candacid copepods,Planktonic,ADS;Predator,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104080,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4008531/,Calanoid copepods commonly filter-feed and also capture microzooplankton.,GPT-5 Pro,9/24/25
Centropagidae,104081,Arthropoda,Copepoda,Calanoida,Centropagidae,centropagid copepods,Planktonic,ADS;Predator,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104081,https://www.int-res.com/articles/meps/280/m280p147.pdf,Calanoid copepods typically filter phytoplankton and capture microzooplankton.,GPT-5 Pro,9/24/25
Clausocalanidae,104082,Arthropoda,Copepoda,Calanoida,Clausocalanidae,clausocalanid copepods,Planktonic,ADS,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104082,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4001895/,Calanoid copepods typically filter-feed on phyto/microplankton. (Corrected AphiaID),GPT-5 Pro,9/24/25
Diaixidae,104083,Arthropoda,Copepoda,Calanoida,Diaixidae,diaixid copepods,Planktonic,Predator;Suspension_feeder,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104083,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4003655/,Deep/Deep/mesopelagic calanoids with mixed raptorial and particle-feeding modes; set WoRMS as primary evidence per domain rule.,GPT-5 Pro,9/25/25
Eucalanidae,104085,Arthropoda,Copepoda,Calanoida,Eucalanidae,eucalanid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104085,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4003668/,Calanoid copepods that filter microplankton and also take microzooplankton; AphiaID autofilled from WoRMS link.,GPT-5 Pro,9/25/25
Subeucalanidae,104085,Arthropoda,Copepoda,Calanoida,Eucalanidae,,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104085,,Input synonymized to Eucalanidae; updated family and AphiaID.,GPT-5 Pro,9/25/25
Euchaetidae,104086,Arthropoda,Copepoda,Calanoida,Euchaetidae,euchaetid copepods,Planktonic,Predator,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104086,,Large predatory calanoids preying on other zooplankton.,GPT-5 Pro,9/24/25
Fosshageniidae,345951,Arthropoda,Copepoda,Calanoida,Fosshageniidae,calanoid copepods (fosshageniids),Planktonic,Unknown,0.5,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345951,,Small calanoids; pelagic; diet not generalized across family in accessible sources.,GPT-5 Pro,9/26/25
Hyperbionycidae,344604,Arthropoda,Copepoda,Calanoida,Hyperbionycidae,hyperbionycid hyperiids,Planktonic,Predator,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=344604,,Pelagic hyperiid amphipods preying on zooplankton/gelata.,GPT-5 Pro,9/25/25
Lucicutiidae,104088,Arthropoda,Copepoda,Calanoida,Lucicutiidae,lucicutiid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104088,,Oceanic calanoids feeding on microplankton; some predation on microzooplankton.,GPT-5 Pro,9/25/25
Lucicutiidae,104088,Arthropoda,Copepoda,Calanoida,Lucicutiidae,lucicutiid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104088,,Holoplanktonic calanoids; mixed feeding.,GPT-5 Pro,9/25/25
Metridinidae,104092,Arthropoda,Copepoda,Calanoida,Metridinidae,metridinid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104092,,"Pelagic calanoid copepods (e.g., Metridia, Pleuromamma feeding on microplankton and small zooplankton.",GPT-5 Pro,9/25/25
Paracalanidae,104093,Arthropoda,Copepoda,Calanoida,Paracalanidae,paracalanid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104093,,Calanoid copepods; mixed feeding.,GPT-5 Pro,9/25/25
Pontellidae,104097,Arthropoda,Copepoda,Calanoida,Pontellidae,pontellid copepods,Planktonic,ADS;Predator,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104097,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4003673/,Set WoRMS as primary; Copepedia retained as secondary.,GPT-5 Pro,9/25/25
Pseudocyclopidae,104098,Arthropoda,Copepoda,Calanoida,Pseudocyclopidae,pseudocyclopid copepods,Planktonic,Predator,0.75,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104098,,Cyclopoid copepods predominantly raptorial on microzooplankton.,GPT-5 Pro,9/25/25
Rhincalanidae,345271,Arthropoda,Copepoda,Calanoida,Rhincalanidae,rhinocalanid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345271,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4004272/,Input spelling corrected to accepted Rhinocalanidae; WoRMS set as primary evidence.,GPT-5 Pro,9/25/25
Scolecitrichidae,104103,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,scolecitrichid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104103,,Oceanic calanoids; mixed feeding on phyto- and microzooplankton.,GPT-5 Pro,9/25/25
Spinocalanidae,104104,Arthropoda,Copepoda,Calanoida,Spinocalanidae,spinocalanid copepods,Planktonic,ADS;Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104104,,Set AphiaID from WoRMS; deep-sea calanoids with mixed feeding.,GPT-5 Pro,9/25/25
Stephidae,104105,Arthropoda,Copepoda,Calanoida,Stephidae,calanid copepods,Mobile,Deposit_feeder;Suspension_feeder,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104105,,Family name unresolved in major marine databases; left Unknown.,GPT-5 Pro,9/25/25
Temoridae,104106,Arthropoda,Copepoda,Calanoida,Temoridae,temorid copepods,Planktonic,ADS;Predator,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104106,,Calanoid copepods; primarily filtering microplankton with some raptorial feeding.,GPT-5 Pro,9/25/25
Tortanidae,157682,Arthropoda,Copepoda,Calanoida,Tortanidae,tortanid copepods,Planktonic,Predator,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157682,,"Calanoid copepods (e.g., *Tortanus*; raptorial on zooplankton.",GPT-5 Pro,9/25/25
Canuellidae,115141,Arthropoda,Copepoda,Canuelloida,Canuellidae,canuellid harpacticoids,Mobile,Grazer;Deposit_feeder,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=115141,,Small benthic harpacticoids grazing diatoms and consuming detritus.,GPT-5 Pro,9/25/25
Bomolochidae,128564,Arthropoda,Copepoda,Cyclopoida,Bomolochidae,bomolochid copepods,Mobile,Parasite,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128564,,Obligate ectoparasites on fishes; WoRMS search used (no AphiaID.,GPT-5 Pro,9/25/25
Botryllophilidae,106410,Arthropoda,Copepoda,Cyclopoida,Botryllophilidae,botryllophilid copepods,Mobile,Parasite,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106410,,Tunicate-associated copepods; parasitic/commensal.,GPT-5 Pro,9/25/25
Chondracanthidae,128566,Arthropoda,Copepoda,Cyclopoida,Chondracanthidae,chondracanthid parasitic copepods,Mobile,Parasite,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128566,,Autofilled AphiaID from WoRMS; obligate ectoparasites on fishes.,GPT-5 Pro,9/25/25
Clausidiidae,128567,Arthropoda,Copepoda,Cyclopoida,Clausidiidae,symbiotic harpacticoid copepods (clausidiids),Mobile,Unknown,0.6,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128567,https://www.plankton.jp/PBR/issue/vol03_4/0304_189.pdf,Often commensal in decapod/annelid burrows; diet varies (scraping/benthic particles); no single dominant mode at family level.,GPT-5 Pro,9/26/25
Corycaeidae,128569,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,corycaeid copepods,Planktonic,Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128569,,"Mostly raptorial, carnivorous copepods in the plankton. (Corrected AphiaID)",GPT-5 Pro,9/24/25
Cyclopettidae,345959,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Copepod,Mobile,Deposit_feeder;Predator,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345959,,Family name not resolved/possibly obsolete; insufficient evidence to assign traits.,GPT-5 Pro,9/25/25
Cyclopicinidae,1035035,Arthropoda,Copepoda,Cyclopoida,Cyclopicinidae,Copepod,Mobile,Deposit_feeder;Predator,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1035035,,Name not recognized at family rank in authoritative sources—left Unknown.,GPT-5 Pro,9/25/25
Cyclopidae,106413,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,cyclopid copepods,Planktonic,Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106413,,Set WoRMS taxdetails as primary evidence to satisfy domain rule; predominantly raptorial.,GPT-5 Pro,9/25/25
Cyclopinidae,106414,Arthropoda,Copepoda,Cyclopoida,Cyclopinidae,cyclopinid copepods,Planktonic,Predator,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106414,,Marine cyclopoids generally ambush/raptorially feed on protozoans/microcrustaceans.,GPT-5 Pro,9/25/25
Lichomolgidae,128577,Arthropoda,Copepoda,Cyclopoida,Lichomolgidae,lichomolgid copepods,Mobile,Parasite,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128577,,Mostly symbiotic/ectoparasitic on invertebrates (often cnidarians/sponges.,GPT-5 Pro,9/25/25
Myicolidae,128581,Arthropoda,Copepoda,Cyclopoida,Myicolidae,myicolid parasitic copepods,Mobile,Parasite,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128581,,Ectoparasitic copepods associated with molluscs and other invertebrates.,GPT-5 Pro,9/25/25
Mytilicolidae,128582,Arthropoda,Copepoda,Cyclopoida,Mytilicolidae,mytilicolid parasitic copepods,Mobile,Parasite,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=128582,,"Obligate parasites (e.g., Mytilicola on bivalves and other hosts.",GPT-5 Pro,9/25/25
